"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"3","E673162A48E9ACC0CCCA80A7E6354ADE","","0","2020.05.20-16.28.45","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"4","9FA8CD914AC790A3F25C519E110DC2C4","","0","2020.05.20-16.28.45","Receive","ConcertReliableHandshakeData","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"4","9FA8CD914AC790A3F25C519E110DC2C4","","0","2020.05.20-16.28.45","EndpointDiscovery","ConcertReliableHandshakeData","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"4","81EDECF94C70AD940C1ADBA2CC32CAA8","","0","2020.05.20-16.28.45","Send","ConcertReliableHandshakeData","B6B957AA4B95E012FE507696F1CE7FA7","E24079CC4263498B844641921B3AB236","None","0",""
"4","9FA8CD914AC790A3F25C519E110DC2C4","","0","2020.05.20-16.28.45","Receive","ConcertReliableHandshakeData","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"4","09C0E50B439D9909E3B4A08D31C6B949","","0","2020.05.20-16.28.45","Send","ConcertReliableHandshakeData","B6B957AA4B95E012FE507696F1CE7FA7","E24079CC4263498B844641921B3AB236","None","0",""
"5","BE3A0587463B42190FC7DE94348EB22E","","0","2020.05.20-16.28.45","Receive","ConcertReliableHandshakeData","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"5","BE3A0587463B42190FC7DE94348EB22E","","0","2020.05.20-16.28.45","Receive","ConcertReliableHandshakeData","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"23","07D220D8430341030C642B8C077241BB","","0","2020.05.20-16.28.46","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"50","C3C4CB144E5CE269655B9B8970173778","","0","2020.05.20-16.28.48","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"95","E8CB147F4F5FBC94EF8A9A82EEB91CB8","","0","2020.05.20-16.28.49","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"154","1B66E6154C45776412027C9CFC12141F","","0","2020.05.20-16.28.50","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"218","32C0DA6443928C2B05083081264C8728","","0","2020.05.20-16.28.51","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"270","FB29D58746391F646CF35DB4728EA3DB","","0","2020.05.20-16.28.52","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"333","125AC2FE464464A5C7CB16AA04D1178B","","0","2020.05.20-16.28.53","Publish","ConcertAdmin_DiscoverServersEvent","B6B957AA4B95E012FE507696F1CE7FA7","00000000000000000000000000000000","None","0",""
"725","5C34346041C9DFB2AB8164B5E03FE8B3","","0","2020.05.20-16.29.00","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"1440","D2C23E61419F9BBE5E4AFD9C6B642EB0","","0","2020.05.20-16.29.15","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"1872","2B019DF5416D36735BCD8FB48C710B7C","","0","2020.05.20-16.29.33","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"2223","B0A51DC5423DEFF3AE68F7B000E41039","","0","2020.05.20-16.29.45","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"2721","97F07D2A4ECFCF6F99A23ABC65BD6830","","0","2020.05.20-16.30.00","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"3171","1442FEE84631E400ECB3F78DBCCB0233","","0","2020.05.20-16.30.15","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"3368","3EB91BB94F924C7C918DB6A387C280D4","","0","2020.05.20-16.30.30","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"3495","216AB9CA419BE83FE2FAE49E55E11471","","0","2020.05.20-16.30.45","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
"4015","3B0571B74795030AF0D158BE12146590","","0","2020.05.20-16.31.00","Receive","ConcertKeepAlive","E24079CC4263498B844641921B3AB236","B6B957AA4B95E012FE507696F1CE7FA7","None","0",""
