"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"2","403BE5F14359C1D612A382A3F0F3847C","","0","2020.05.19-21.47.51","Publish","ConcertAdmin_DiscoverServersEvent","54DCB5B540827AB7BD321AB601F1A041","00000000000000000000000000000000","None","0",""
"2","249DB0404F18EB4D04656DA7FDA206BA","","0","2020.05.19-21.47.51","Receive","ConcertReliableHandshakeData","99B287C24C88A854BAB64CB106B8DE62","54DCB5B540827AB7BD321AB601F1A041","None","0",""
"2","249DB0404F18EB4D04656DA7FDA206BA","","0","2020.05.19-21.47.51","EndpointDiscovery","ConcertReliableHandshakeData","99B287C24C88A854BAB64CB106B8DE62","54DCB5B540827AB7BD321AB601F1A041","None","0",""
"2","FC0CAEE74DCB7AD8CA6CC39C3B4FE238","","0","2020.05.19-21.47.51","Send","ConcertReliableHandshakeData","54DCB5B540827AB7BD321AB601F1A041","99B287C24C88A854BAB64CB106B8DE62","None","0",""
"2","249DB0404F18EB4D04656DA7FDA206BA","","0","2020.05.19-21.47.51","Receive","ConcertReliableHandshakeData","99B287C24C88A854BAB64CB106B8DE62","54DCB5B540827AB7BD321AB601F1A041","None","0",""
"2","78B3D6F2478EBEDD4EAB2485CFD1718F","","0","2020.05.19-21.47.51","Send","ConcertReliableHandshakeData","54DCB5B540827AB7BD321AB601F1A041","99B287C24C88A854BAB64CB106B8DE62","None","0",""
"3","07513ACA4818CC4EC024929676568277","","0","2020.05.19-21.47.52","Receive","ConcertReliableHandshakeData","99B287C24C88A854BAB64CB106B8DE62","54DCB5B540827AB7BD321AB601F1A041","None","0",""
"3","07513ACA4818CC4EC024929676568277","","0","2020.05.19-21.47.52","Receive","ConcertReliableHandshakeData","99B287C24C88A854BAB64CB106B8DE62","54DCB5B540827AB7BD321AB601F1A041","None","0",""
"5","CC5EE02B445BC0D3916138804DC44FC3","","0","2020.05.19-21.47.52","Publish","ConcertAdmin_DiscoverServersEvent","54DCB5B540827AB7BD321AB601F1A041","00000000000000000000000000000000","None","0",""
"8","FB9732434EE9E9CBCC1657B11630D2E7","","0","2020.05.19-21.47.53","Publish","ConcertAdmin_DiscoverServersEvent","54DCB5B540827AB7BD321AB601F1A041","00000000000000000000000000000000","None","0",""
