"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"2","E8B2E0CC4E5EAB7ADB627C818A514044","","0","2020.05.20-03.00.18","Publish","ConcertAdmin_DiscoverServersEvent","1CFA082449F26B792BA2828A16192C14","00000000000000000000000000000000","None","0",""
"2","6FD165264FE81AFFC8F0F3B2792F3D87","","0","2020.05.20-03.00.18","Receive","ConcertReliableHandshakeData","3CD23DB4417453646D868E8A896B5D4C","1CFA082449F26B792BA2828A16192C14","None","0",""
"2","6FD165264FE81AFFC8F0F3B2792F3D87","","0","2020.05.20-03.00.18","EndpointDiscovery","ConcertReliableHandshakeData","3CD23DB4417453646D868E8A896B5D4C","1CFA082449F26B792BA2828A16192C14","None","0",""
"2","D208A6B94288CC31939DCE9E81D91107","","0","2020.05.20-03.00.18","Send","ConcertReliableHandshakeData","1CFA082449F26B792BA2828A16192C14","3CD23DB4417453646D868E8A896B5D4C","None","0",""
"2","6FD165264FE81AFFC8F0F3B2792F3D87","","0","2020.05.20-03.00.18","Receive","ConcertReliableHandshakeData","3CD23DB4417453646D868E8A896B5D4C","1CFA082449F26B792BA2828A16192C14","None","0",""
"2","D302EFBE4FFCCF404B1E99B52584CA9E","","0","2020.05.20-03.00.18","Send","ConcertReliableHandshakeData","1CFA082449F26B792BA2828A16192C14","3CD23DB4417453646D868E8A896B5D4C","None","0",""
"3","139AAB604EF0F1D28DD5129BFC72038C","","0","2020.05.20-03.00.18","Receive","ConcertReliableHandshakeData","3CD23DB4417453646D868E8A896B5D4C","1CFA082449F26B792BA2828A16192C14","None","0",""
"3","139AAB604EF0F1D28DD5129BFC72038C","","0","2020.05.20-03.00.18","Receive","ConcertReliableHandshakeData","3CD23DB4417453646D868E8A896B5D4C","1CFA082449F26B792BA2828A16192C14","None","0",""
"5","2177D135444B5E9044D1A38649DDC171","","0","2020.05.20-03.00.19","Publish","ConcertAdmin_DiscoverServersEvent","1CFA082449F26B792BA2828A16192C14","00000000000000000000000000000000","None","0",""
"8","7676B1774860120B0DD20AA433EC1CE7","","0","2020.05.20-03.00.20","Publish","ConcertAdmin_DiscoverServersEvent","1CFA082449F26B792BA2828A16192C14","00000000000000000000000000000000","None","0",""
