"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"3","57AA54884077050E7F8E80A41FD1A94A","","0","2020.05.20-16.39.58","Publish","ConcertAdmin_DiscoverServersEvent","89E8CF414C538FDA7967C199BB2824E3","00000000000000000000000000000000","None","0",""
"4","30807155454F031A935BE0A82FCBFD74","","0","2020.05.20-16.39.58","Receive","ConcertReliableHandshakeData","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"4","30807155454F031A935BE0A82FCBFD74","","0","2020.05.20-16.39.58","EndpointDiscovery","ConcertReliableHandshakeData","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"4","8553FA03416D7537808A71977C19F52A","","0","2020.05.20-16.39.58","Send","ConcertReliableHandshakeData","89E8CF414C538FDA7967C199BB2824E3","79ADB4384B8D7C3A2DD42AB58A333C1E","None","0",""
"4","30807155454F031A935BE0A82FCBFD74","","0","2020.05.20-16.39.58","Receive","ConcertReliableHandshakeData","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"4","CEAE4FDB4EDBD997D24E219DB900999E","","0","2020.05.20-16.39.58","Send","ConcertReliableHandshakeData","89E8CF414C538FDA7967C199BB2824E3","79ADB4384B8D7C3A2DD42AB58A333C1E","None","0",""
"5","72278F034FED9837E6CB718A4E3A4FE3","","0","2020.05.20-16.39.59","Receive","ConcertReliableHandshakeData","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"5","72278F034FED9837E6CB718A4E3A4FE3","","0","2020.05.20-16.39.59","Receive","ConcertReliableHandshakeData","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"6","BAC5CD1A49543C74350A76B534901AB4","","0","2020.05.20-16.39.59","Publish","ConcertAdmin_DiscoverServersEvent","89E8CF414C538FDA7967C199BB2824E3","00000000000000000000000000000000","None","0",""
"9","3C84A1094F58863F9940F98B82EFD54B","","0","2020.05.20-16.40.00","Publish","ConcertAdmin_DiscoverServersEvent","89E8CF414C538FDA7967C199BB2824E3","00000000000000000000000000000000","None","0",""
"12","E609A2254999F6E35789808365F2A82B","","0","2020.05.20-16.40.01","Publish","ConcertAdmin_DiscoverServersEvent","89E8CF414C538FDA7967C199BB2824E3","00000000000000000000000000000000","None","0",""
"15","E566FBB745C576125964419C61DBD692","","0","2020.05.20-16.40.02","Publish","ConcertAdmin_DiscoverServersEvent","89E8CF414C538FDA7967C199BB2824E3","00000000000000000000000000000000","None","0",""
"723","2EF9A5A34F87B4735076D7B580D90871","","0","2020.05.20-16.40.14","Receive","ConcertKeepAlive","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"768","4E97200F4D081B9538322FBA8F083EE3","","0","2020.05.20-16.40.29","Receive","ConcertKeepAlive","79ADB4384B8D7C3A2DD42AB58A333C1E","89E8CF414C538FDA7967C199BB2824E3","None","0",""
"795","00000000000000000000000000000000","","0","2020.05.20-16.40.39","EndpointTimeOut","None","79ADB4384B8D7C3A2DD42AB58A333C1E","00000000000000000000000000000000","None","0",""
"795","B396480B412C96E5C65E25AF6B92DB55","","0","2020.05.20-16.40.39","Send","ConcertEndpointClosedData","89E8CF414C538FDA7967C199BB2824E3","79ADB4384B8D7C3A2DD42AB58A333C1E","None","0",""
